Innsendt,Prosjektnummer,Bedriftsnavn,Prosjekttittel,Organisasjonsnummer,Fylke,Kommunenavn,Poststed,Søknad godkjent,Søknad avslått,Prosjektets fra-år,Prosjektets til-år,Vedtaksdato,Populærvitenskapelig sammendrag
1/4/2019,298397,LEADING EDGE AS,Automatisert digital plattform for lederutvikling,994211315,Oslo,OSLO,OSLO,NEI,NEI,2019,2021,,
1/4/2019,298400,OVITAS AS,Datautveksling mellom ordbok og åpne databaser,982739292,Oslo,OSLO,OSLO,JA,NEI,2019,2019,2/22/2019,"En ordbok kan også betraktes som en database med ord og bøyninggsformer knyttet til ordene - det samme som Norsk ordbank. Siden disse databasene ble utviklet av forskjellige folk, er det naturlig at de ikke inneholder samme ord. Det kan være et aktuelt mål for begge databasene å dekke en så stor del av språket som mulig. Å kopiere ord som bare den andre har kan bidra til dette.
Selv om det ville være mulig å generere mulige sammensatte ord i Norsk ordbank automatisk, og øke antall ord på denne måten, er fordelen ved å kopiere ord fra ordboka den vurderingen forfatteren gjorde da han valgte å føre opp nettopp de ordene. For forfatteren er det en stor fordel å importere ord som er normert og verifisert av Språkrådet fra før.
En annen hoveddel av prosjektet er å innføre flere semantiske markeringer i definisjonsdelen av ordartiklene. Ved å markere f. eks. vitenskapelige navn på artene, kan vi tilby funksjoner som navigering til beslektede arter, lage tematiske ordlister, eller koble til informasjon i andre databaser. Markering av synonymer og definisjoner kan brukes til å lage andre produkter, som en synonymordbok."
1/7/2019,298403,ENERGYOPTIMAL AS,Utvikling av belysning og produkter for bedring av sikkerhet i tunneler,993926205,Oslo,BÆRUM,LYSAKER,JA,NEI,2019,2020,3/29/2019,Vi skal utvikle produkter og løsninger som skal øke sikkerheten i tunneler.
1/7/2019,298404,TENSIO TS AS,Risikobase for strømnett,978631029,Trøndelag,TRONDHEIM,TRONDHEIM,JA,NEI,2019,2021,2/12/2019,"Store deler av kraftnettet er i ferd med å nå en alder der man kan forvente økende grad av svikt og feil. Nettet består av hundretusenvis av komponenter spredt utover store geografiske områder, og det er utfordrende for netteierne å holde oversikt og kontroll over tilstand og risikoforhold. Det vil være ønskelig med bedre modeller og metoder for å på en systematisk måte kunne sammenstille informasjon om tekniske forhold, klimaforhold og observasjoner av tilstand og avvik i nettet slik at man kan forstå risiko og restlevetid, og derigjennom styre innsatsen av vedlikehold og fornyelser i nettet rasjonelt. 

Prosjektet har til hensikt å utvikle en database med risikorelatert informasjon som feilsannsynligheter og estimerte levetider knyttet til alle komponentene i nettet, til bruk både ved drift, vedlikehold og fornyelser i nettet. 
Videre skal det utvikles et program til beslutningsstøtte ved fornyelsesvurderinger. Programmet skal anvende informasjon fra Risikobasen ved analyse av risiko og lønnsomhet knyttet til beslutninger om fornyelse eller fortsatt drift."
1/8/2019,298407,RØRVIK MARINA AS,Båtheis II,964019126,Trøndelag,VIKNA,RØRVIK,NEI,JA,2019,2021,2/8/2019,
1/8/2019,298412,NORSK LIMTRE AS,Hvordan videreutvikle robotisering til overflatebehandling limtre,964431744,Trøndelag,INDERØY,MOSVIK,JA,NEI,2019,2021,3/6/2019,"Vi skal digitalisere alle prosesser i produksjonen ved å aggregere data fra alle produksjonsprosesser, sammen med data fra sensorer som måler omgivelser og trevirke, skanning osv til en felles database for overvåkning, analyse, effektivisering og styring av produksjonsprosessene. Fokus er på overføring av erfaringsbasert manuell sorteringsprosess i forkant og underveis av limtreproduksjon som i dag utføres av erfarne medarbeidere til en ny modul for automatisk analyse og styring av prosesser."
1/8/2019,298413,MÅNDALEN TREVARE AS,Utvikling av system for skreddersydd møblering av små rom.,999600689,Møre og Romsdal,RAUMA,MÅNDALEN,NEI,JA,2019,2021,2/28/2019,
1/8/2019,298415,LEIV SAND TRANSPORT AS,Firmadok 3.0 - internasjonal tilpasning av plattform,992619074,Trøndelag,LEVANGER,LEVANGER,NEI,JA,2019,2021,3/25/2019,
1/8/2019,298416,LEIV SAND TRANSPORT AS,System for avviksrapportering og behandling av avvik,992619074,Trøndelag,LEVANGER,LEVANGER,JA,NEI,2019,2020,2/15/2019,"Vi skal utvikle en avviksmodul for rapportering og synliggjør kostnader av avvik i kjøreplan eller skade på fartøy får for transportoppdraget og for selskapet som helhet. Målet er å redusere slike utgifter med 50% og samtidig motivere og bevisstgjøre sjåførene til å endre kjøreadferd slik at avvik i størst mulig grad unngås. Avvik skal dessuten reduseres med bedre overvåkning av kjørerute og framdrift sentralt, med tilbakemelding til sjåfør."
1/8/2019,298417,LEIV SAND TRANSPORT AS,Optimalisering av kjøreadferd,992619074,Trøndelag,LEVANGER,LEVANGER,NEI,JA,2019,2021,3/25/2019,
1/8/2019,298418,LEIV SAND TRANSPORT AS,Utvikling av risikostyringsfunksjoner for beregning av kostnad/inntjening,992619074,Trøndelag,LEVANGER,LEVANGER,NEI,JA,2019,2021,3/25/2019,
1/9/2019,298423,NCC NORGE AS,Videreføre prosjektnr. 284068: Ferdigutvikle NoDig/gravefri tilkobling fra hus til hovedvannledning,911274426,Oslo,OSLO,OSLO,JA,NEI,2019,2019,2/15/2019,"Økende urbanisering gjør bruken av NoDig-teknologi stadig mer nødvendig. Oslo kommune ved vann- og avløpsetaten (VAV) har i mange år satset på gravefrie løsninger ved rehabilitering av kommunale hovedledninger. Dessverre finnes det i dag ikke en gravefri metode når stikkledninger fra hus skal kobles til hovedledninger. Fremgangsmåten som benyttes i dag krever at hvert enkelt påkoblingspunkt blir gravet opp og koblet til hovedledningsnettet, med de ulempene dette medfører for miljø og samfunn. VAV utfordret derfor markedet høsten 2014 til å utvikle nye metoder og innovasjonsløsninger for gravefri tilkobling fra hus til hovedvannledning, gjennom konkurransen NoDigChallenge. NCC leverte som én av to entreprenørfirmaer det beste forslaget, og har de siste årene forsket på og utviklet nytt utstyr/teknikk for å realisere gravefri metode. Vi har løst mange av de største utfordringene, og skal i 2019 utvikle konseptet videre med fullskala testing og optimaliseringer. Denne siste FoU-fasen skal gjøre oss klare for å ta virkelige prosjekter høsten og realisere innovasjonen."
1/9/2019,298424,VBBYGG AS,Integrasjon og dataflyt for dagens og fremtidens teknologier,995605430,Møre og Romsdal,ÅLESUND,ÅLESUND,JA,NEI,2019,2021,3/6/2019,"Vi skal integrere våre systemer for design, konstruksjon og prosjektering og prosjektstyring mot en felles database/plattform slik at data sømløst og i realtime kan overføres mellom systemene. Våre oppdragsgivere krever ofte justeringer og tilpasninger underveis i byggeprosessen, og disse må håndteres i sanntid."
1/9/2019,298425,SAGASYSTEM AS,Digital forbruksmåling og kjøreadferdsalgoritme for Elbusser,993471038,ukjent,BERGEN,KOKSTAD,NEI,JA,2019,2020,2/8/2019,
1/9/2019,298426,ARCTIC OFFSHORE FARMING AS,AOF - Arctic Offshore Farming,921634056,Trøndelag,TRONDHEIM,TRONDHEIM,JA,NEI,2019,2019,,"Artic Offshore Farming er et oppdrettsanlegg for lokaliteter i områder som er åpne mot hav og sjø. Anlegget er utformet slik at hele noten holdes nedsenket under normal drift. Fisken svømmer dermed ikke i overflatevann, for å begrense kontakt med lakselus. Prosjektet innebærer utvikling av et sirkulært halvt nedsenkbart oppdrettsanlegg som baserer seg på offshoreteknologi. Flytekragen er en sirkulær stålstruktur bestående av to sirkulære ringer (pontonger) ovenfor hverandre, holdt sammen og avstivet av søyler og stag. Pontongene har et rektangulært tverrsnitt mens søyler og stag har et sirkulært tverrsnitt. For å forenkle fabrikasjon og funksjonalitet vil konstruksjonen ikke være helt sirkulær, men mangekantet. Nedre pontong er inndelt i ballasttanker som gjør at konstruksjonen kan heves/senkes og flyte stabilt på ulike dypganger.
For at fisken skal kunne fylle luft i svømmeblæren når noten er nedsenket er det planlagt å tilføre luft i dedikerte volumer, såkalte lufteflater, under vann. Lufteflatene tilføres oksygen ved hjelp av en kompressor, ventiler, sensorer og kontroll-logikk etter hvert som bølger, strøm, samt konstruksjonens og fiskens bevegelser vasker ut luften i lommen. Noten vil henge under nedre pontong. Det vil også være et nottak mellom lufteflatene på nedre pontong som hindrer fisken i å bevege seg til vannoverflaten under normal drift. Lufteflatene vil derfor utgjøre en del av «taket» i det avgrensede området hvor fisken befinner seg. Søker opplyser at det i konseptet kan benyttes både enkeltnot og dobbelnot, men det er også nevnt at «basis konseptet» har en dobbelnot. Merdene skal plasseres i områder med mye bølger, noe som gjør entring av merd værbegrenset. Daglige operasjoner skal derfor kunne fjernstyres fra serviceflåte. Det opplyses om at dette stiller krav til fôring og overvåking."
1/9/2019,298429,MILLBA AS,Utvikling av veganske kakeprodukter,980786706,ukjent,SKIEN,SKIEN,JA,NEI,2019,2019,2/12/2019,"Det har gjennom de seneste årene vært et stadig økende fokus på utvikling av veganske produkter. I stor grad har denne utviklingen hatt fokus på å lage gode alternativer til kjøtt som middag eller lunch.

Vi ser nå at veganerfokuset øker, og det er økt fokus på veganerprodukter innen snacks, kaker og sjokolade. I flere markeder lanseres det nå egne butikker som utelukkende selger veganerprodukter.

Fokuset på vegan er økende i flere alderssegmenter, men vi ser en særlig interesse blant unge mennesker."
1/9/2019,298430,MOVES OF NORWAY AS,2.0-utvikling av MOVES opplæringsplattform (for instruktører på treningssentere),999558763,Oslo,OSLO,OSLO,JA,NEI,2019,2020,2/28/2019,"Moves of Norway AS utvikler en kompetanse-plattform designet og utviklet av fagfolk for treningsbransjen. Denne gir direkte tilgang til innhold og kompetanse for treningssenterets instruktører og koordinatorer, og forenkler prosessen for ledere og instruktører uavhengig av nivå, slik at det blir mer plass til kunderelasjoner."
1/9/2019,298432,KAOS NORGE AS,Nytt konsept for bærekraftig produksjon og distribusjon av barneprodukter gjennom hele verdikjeden,912573362,Oslo,OSLO,OSLO,NEI,JA,2019,2021,4/23/2019,
1/10/2019,298594,EMILSEN FISK AS,Utvikling av vaksine for Rognkjeks,828829092,Trøndelag,VIKNA,RØRVIK,JA,NEI,2019,2021,2/12/2019,"Emilsen Fisk AS er deleier i Namdal Rensefisk AS som driver med oppdrett av rognkjeks for bruk i havbruksnæringen som tiltak for å holde kontroll på lakselusnivåene. Gjennom dette FoU-prosjektet har sekskapet som mål å sammen med samarbeidspartnerene Aquakompetanse og det internasjonale legemiddelselskapet Hipra, utvikle en ny type rognkjeksvaksine med formål om å produsere en mer hardfør og motstandsdyktig fisk mot de agens som vi vet er utfordrende i dag."
1/10/2019,298597,HERJEDALSKJØKKEN AS,Nytt system for automatisk design og produksjon,979124945,ukjent,BERGEN,ULSET,JA,NEI,2019,2021,3/19/2019,Det skal utvikles en ny løsning for avansert automatisk design og sammensetting av kjøkken hos kunde. Systemet måler opp rom og eksisterende kjøkken og foreslår en løsning som kunde så kan endre på. Ferdig kjøkkenforslag danner grunnlag for avtale som signeres digitalt og linkes eventuelt mot finansieringsløsning. Ved betaling av depositum sendes alle relevante data direkte til produksjonslinjene.
1/10/2019,298599,SELLTIK AS,Nytt forretningskonsept formidling  overskudsmateriell byggeprosjekter,918065245,Oslo,OSLO,OSLO,NEI,JA,2019,2021,3/18/2019,
1/11/2019,298600,XAIT AS,Applikasjonsplatform som en Tjeneste,982339243,Rogaland,SOLA,STAVANGER,JA,NEI,2019,2020,5/7/2019,"Ny teknologiske plattformen med integrerte maskinlæringselementer fra Xait vil kunne gjøre det mulig for programvareselskaper og IT-avdelinger i bedrifter å effektivisere, sikre og øke kvaliteten på sine dokumentsentriske forretningsprosesser på en trygg og effektiv måte."
1/11/2019,298601,INTERSHARE AS,Silverstep på .NET Core_2019,983446590,ukjent,KRISTIANSAND,KRISTIANSAND S,NEI,JA,2019,2019,3/29/2019,
1/11/2019,298603,INTAKT BILSKADE TRONDHEIM AS,"Ny, komplett produksjonsprosess for oppretting av skader på personbil",995238306,Trøndelag,TRONDHEIM,TRONDHEIM,NEI,JA,2019,2019,2/12/2019,
1/11/2019,298605,NORSK ORTOPEDISK FOTTØY AS,Flyttet søknad fra søknadsnummer 276287: Logistikk- og statistikksystem for hjelpemiddelbransjen,920770983,ukjent,FREDRIKSTAD,FREDRIKSTAD,JA,NEI,2019,2019,3/8/2019,Utvikling av logistikk- og statistikksystem for hjelpemiddelbransjen.
1/12/2019,298613,EIDSIVA NETT AS,DiAgNoSE - Datadreven ANalySe i Eidsiva Nett,981963849,ukjent,HAMAR,HAMAR,JA,NEI,2019,2021,3/29/2019,"Via DiAgNoSE - datadreven analyse i Eidsiva Nett skal det etableres en datavirtualiseringsløsning som tillater benyttelse av skybaserte interne data og tilkobling av eksterne datakilder, med tilhørende sikring for GDPR formål og styring av brukertilgang. Det skal i tillegg utvikles dataverktøy for optimalisering av planleggingen av reinvesteringer i nettet, samt løsninger for fleksibel håndtering og benyttelse av bildemateriale."
1/14/2019,298618,BREWTECH AS,Gjæringstank med kjøling/varming,999573053,ukjent,GRIMSTAD,GRIMSTAD,NEI,JA,2019,2019,3/21/2019,
1/15/2019,298644,STARTBLOCK AS,Crypto Mafia - sosialt og strategisk spill på blockchain,920463371,Oslo,OSLO,OSLO,JA,NEI,2019,2020,3/18/2019,"Crypto Mafia er et sesongbasert, sosialt "
1/16/2019,298655,IPOA AS,Prediktive modeller for effektivisering av produksjonsprosesser knyttet til stålkonstruksjon i bygg,997039297,ukjent,RÅDE,RYGGE,NEI,JA,2019,2021,4/30/2019,
1/16/2019,298656,IPOA AS,"Mobil, nearsite/onsite stålbehandlingsteknologi for stålkonstruksjoner til bygg og industri.",997039297,ukjent,RÅDE,RYGGE,JA,NEI,2019,2021,4/29/2019,"Ineffektive produksjonsprosesser i stål industrien får skylden for at det brukes enorme mengder gift i pre-behandling av stål elementer til bygg og industri. Bruken av flere tusen liter giftig primer kunne vært unngått ved å effektivisere produksjonsprosessen og ved å utvikle mobil, near eller onsite, ontime teknologi for rensing av stål."
1/16/2019,298657,VIDAR HENDEN,Tinekabel for is.,969398273,Møre og Romsdal,HALSA,VALSØYFJORD,JA,NEI,2019,2020,4/12/2019,Utvikling av hensiktsmessig utstyr for tining av vannrør under bakken.
1/17/2019,298687,RG CRANE AS,Effektivisering offentlig virksomhet -automatisert funksjon,918280197,Møre og Romsdal,KRISTIANSUND,FREI,JA,NEI,2019,2021,5/23/2019,"Dette prosjektet vil effektivisere offentlig virksomhet, men kan også være nyttig for andre bedrifter. Produktet er nytt og forefinnes ikke i dag."
1/17/2019,298689,INOSA AS,INOSAwoc,989643037,Rogaland,VINDAFJORD,NEDRE VATS,JA,NEI,2019,2019,3/12/2019,"Formålet med løsningen er å hjelpe virksomhetene med å kvalitetssikre både en virksomhets arbeidsprosedyrer og arbeidsutførelse på en systematisk og involverende måte.

Metoden er en del av det som i lean-terminologi kalles å «gå til gemba» (""synlig ledelse""). Dette blir ofte enkle og sporadiske observasjoner med ark og manuell oppfølging og med stor variasjon i utførelse. Arbeidet kan dermed bli tilfeldig og ikke til god nytte for verken for den ansatte eller ledelsen.

INOSA planlegger å utvikle ny metodikk og funksjonalitet for woc-rutiner som kan forenkle arbeidet ved at ressurser til administrasjon og oppfølging blir betydelig redusert. I tillegg vil løsningen gi grunnlag for bedre læring og
forbygging av feil og ulykker."
1/17/2019,298699,DR TECHN OLAV OLSEN AS,"""Safe operation of Closed aquaculture Cages in Waves (CCW)"", oppfølging av MAROFF-prosjekt",981124626,ukjent,BÆRUM,LYSAKER,JA,NEI,2019,2020,2/12/2019,"Tradisjonelt havbruk i åpne merder har noen utfordringer mhp lusepåslag, miljøkonsekvenser, vannkvalitet, rømning. Lukkede oppdretsmerder studeres og settes i sjøen, og da kan stående bøleger være et problem. Dette prosjektet fokuserer på å forstå dette fenomenet, modellteste, beskrive hvilke effekter som påvirker og foreskrive mitigerende tiltak hvis nødvendig.
Vi har vært med å designe forskjellige lukkede eller semi-lukkede anlegg, og denne kompetansen vil bli nyttig i vårt arbeid fremover og i å opprettholde vårt omdømme som ledende på dette området."
1/17/2019,298700,PEGI MARITIME AS,Verdens første hurtiggående maritime nullutslippsfartøy på hydrogen.,917219109,ukjent,BERGEN,LAKSEVÅG,JA,NEI,2019,2020,2/8/2019,"PEGI Maritime AS har en visjonær tanke om å drive kommersiell utleie av verdens første hydrogendrevet hurtiggående nullutslippsfartøy, et maritimt miljøfyrtårn som skal fungere som inspirasjon og utstillingsvindu for banebrytende teknologi."
1/18/2019,298702,SNARUM GARTNERI AS,Utvikle en hybrid teknologi for dyrking av krydderplanter,889086602,ukjent,LIER,LIER,JA,NEI,2019,2019,2/15/2019,"Norge importerer i dag 70% av all frukt og grønnsaker vi forbruker. Snarum Gartneri AS er Norges ledende produsent av urter.
Med dette prosjektet ønsker Snarum Gartneri AS å utvikle en hybrid teknologi som skal optimalisere produksjonen samt redusere energi forbruket og areal bruket. 
."
1/18/2019,298703,MACHINEBOY AS,Embracelet - smidig produksjon av narrativt dataspill,921350678,Oslo,OSLO,OSLO,JA,NEI,2019,2020,3/18/2019,"Etter suksessen med Milkmaid of the Milky Way, skal Machineboy AS nå utvikle et helt nytt eventyrsspill satt til Nord-Norge. Spillet Embracelet handler om gåteløsning, vennskap, magi og kjærlighet, og er et tredjepersons spill som gis ut til Nintendo Switch. I utviklingen av prosjektet skal Machineboy finne nye metoder for å produsere stilisert 3D-innhold, og utvikle en arbeidsflyt som gjør det mulig å produsere mye innhold på kortere tid enn vanlig i spillbransjen."
1/20/2019,298713,MØRE MARITIME AS,Fremtidens logistikkløsning for transport av laks uten svinn og smittespredning,985464138,Møre og Romsdal,KRISTIANSUND,KRISTIANSUND N,JA,NEI,2019,2019,2/12/2019,Prosjektet som utvikle logistikkløsninger og produkter og fartøy for bedre fiskevelferd og dermed mindre svinn og dødelighet-
1/21/2019,298717,SKANSKA NORGE AS,SFI Klima 2050: Reduksjon av samfunnsrisiko knyttet til klimaendringer på det bygde miljø,943049467,Oslo,OSLO,OSLO,JA,NEI,2019,2020,4/12/2019,"SFI Klima 2050 bygger videre på de tidligere forskningsprosjektene Klima 2000 (2000-2007) og ROBUST (2008-2012). SFI står for Sentrer for Forskningsdrevet Innovasjon, og senteret har som overordnet mål å redusere risiko knyttet til virkninger av klimaendringer i det bygde miljø (se egen prosjektbeskrivelse for senteret). Skanska har klare ambisjoner om å bidra aktivt i Klima 2050 for styrke utviklingen av ny og innovativ bygningsteknologi og infrastruktur. 

Aktiviteten ved senteret fokuserer på fuktbestandige bygninger, overvannshåndtering, blågrønne løsninger, vannutløste jordskred, sosioøkonomiske insentiver og beslutningsprosesser. Både den gradvise klimaendringen og ekstremvær blir adressert i prosjektet. SINTEF er vertsinstitusjon leder senteret i samarbeid med NTNU. 

Som eneste entreprenør har Skanska en spesiell posisjon i Klima 2050 ved at vi har tilgang til prosjektene i hele livsløpet, fra planlegging via utførelse og overlevering, og ofte også i driftsfase. Det er Skanskas klare ambisjon å bidra til at Klima 2050 utvikler ny og innovativ teknologi med tanke på å møte fremtidens klimautfordringer i forhold til nye teknologier, løsninger, tjenester og prosesser. 

For å oppnå dette ser vi et klart behov for at man gjennom Klima 2050 skal utvikle løsninger og verktøy for;
"
1/21/2019,298721,AVFALLSSERVICE AS,"Utvikling av styrings-, rapporterings- og faktureringssystem for farlig avfall",964180644,ukjent,NORDREISA,STORSLETT,NEI,JA,2019,2020,2/15/2019,
1/22/2019,298729,ELAX AS,"ELAX, bærekraftig nødprosessering av laks og ørret",921543425,ukjent,AUSTEVOLL,VESTRE VINNESVÅG,JA,NEI,2019,2021,4/9/2019,"Elax konseptet vert ein nyutvikla metode for å automatisk skille mellom allerede død og fremdeles levande fisk. Hensikten er å samle inn skadet fisk, dokumentere at den er i live og dermed kunne bruke fisken til human konsum.
Årlig tap av laks og ørret er over 120.000 tonn. Med Elax metoden reduseres svinnet med opptil 100 %."
1/22/2019,298730,NATURE COMPACT LIVING AS,Bo- og rekreasjonskonsept med høy kvalitet og komfort,915248667,ukjent,LARVIK,LARVIK,NEI,JA,2019,2019,3/21/2019,
1/23/2019,298738,FLEXI SOFT AS,Støttesystem for økonomistyring og gjeldsrådgiving,961320453,ukjent,ØVRE EIKER,VESTFOSSEN,JA,NEI,2019,2019,3/6/2019,"Prosjektet skal resultere i et støttesystem som setter kommunale rådgivere i bedre posisjon til å utføre økonomistyring og gjeldsrådgiving til klienter med finansielle problemer, eller andre problemer som gjør dem uegnede til å styre egen økonomi. Dette er funksjoner som i dag er for kompliserte og ressurskrevende til at alle kommuner klarer å yte tjenestene til tross for krav gjennom regelverk."
1/23/2019,298739,RELOCATION AS,Robotisering av Strong,992257393,Rogaland,STAVANGER,STAVANGER,JA,NEI,2019,2020,2/22/2019,"Utforske og ta i bruk robotteknologi i relocation-bransjen, for å effektivisere og forenkle komplekse prosesser som i dag gjøres manuelt. På den måten vil vi bruke teknologi i konkurranse mot internasjonale konkurrenter med andre lønnsnivåer, for å trygge våre norske arbeidsplasser og kunne håndtere mer arbeid i et voksende marked."
1/23/2019,298744,MØRE MARITIME AS,Fremtidens behandlingskonsept for rent havbruk,985464138,Møre og Romsdal,KRISTIANSUND,KRISTIANSUND N,JA,NEI,2019,2021,2/12/2019,Prosjektet skal utvikle et nytt og innovativt behandlingskonsept for flere behandlingsmetoder
1/23/2019,298745,ASAMEDIC AS,Fase 3: Realisere Asacor (nytt legemiddel for å redusere dødelighet ved hjerteinfarkt),912575586,Oslo,OPPEGÅRD,KOLBOTN,JA,NEI,2019,2020,3/8/2019,Asamedic utvikler et nytt legemiddel. Vi søker nå å ferdigstille utviklingsprosessen og gjennomføre siste langtidsstudie før produktet kan lanseres i globale marked.
1/23/2019,298746,ASK SAFETY AS,Online/offline/praktisk opplæring og trening for maritim bransje og olje- og gassindustrien,813907682,Møre og Romsdal,ÅLESUND,ÅLESUND,JA,NEI,2019,2019,2/22/2019,På det nåværende tidspunkt ønsker vi ikke å publisere dette prosjektet. Vi vil vente til lansering da vi mener ideen er så god at vi ønsker ikke fortelle det til våre konkurrenter før strengt tatt nødvendig. Vi håper på forståelse av dette.
1/23/2019,298753,ENTIQ AS,RPA - Robotic Process Automation,921683774,Oslo,OSLO,OSLO,NEI,JA,2019,2019,4/12/2019,
1/24/2019,298767,ARCTIC COOLING-SYSTEMS AS,Kjøleboost,920664156,Nordland,VEFSN,MOSJØEN,NEI,JA,2019,2020,3/18/2019,
1/24/2019,298770,SATPOS TECHNOLOGY AS,Sensorenhet for presis posisjonering og overvåking av maritime enheter,998867835,Møre og Romsdal,AUKRA,AUKRA,JA,NEI,2019,2019,3/25/2019,Ny anvendelse av sensorteknologi innefor olje- og gass
