Innsendt dato,Prosjektnummer,Bedriftsnavn,Prosjekttittel,Organisasjonsnummer,Fylke,Kommunenavn,Poststed,Søknad godkjent,Søknad avslått,Vedtaksdato,Prosjektets fra-år,Prosjektets til-år,Bransje,Populærvitenskapelig sammendrag
1/16/2020,311523,MULTICONSULT NORGE AS,"HOS/CFD-solver, a fully non-linear wave-load design tool.",918836519,Oslo,Oslo,OSLO,JA,NEI,3/2/2020,2020,2021,Olje og gass,"Computational Fluid Dynamics (CFD) is today widely used to create realistic (fully non-linear) design-load cases within marine engineering to correctly describe extreme loads for wave-wave and wave-structure interaction. These computations are, however, very costly with respect to both time and effort. We will  to develop a new methodology utilizing Higher Order Spectral (HOS) methods to evolve regular wave fields via advanced statistical methods retaining the non-linearity to allow for realistic wave load-cases on structures."
1/17/2020,311524,HELITRANS AS,Helikoptertobber i kaldt klima,980313360,Trøndelag - Trööndelage,Stjørdal,STJØRDAL,JA,NEI,2/5/2020,2020,2020,"Bygg, anlegg og eiendom","Formålet med dette prosjektet er å beregne, måle og dokumentere hva som skjerm med fersk betong når den flyves i arktisk klima. Denne nye kunnskapen skal brukes som planleggingsgrunnlag i fremtidige helikopteroperasjoner og som grunnlag for å videreutvikle dagens helikoptertobbe til et produkt som er bedre rustet for vårt krevende klima. Nyvinningene vil bidra til helårsdrift og bedre betongkvalitet overalt der temperaturen faller under frysepunktet."
1/17/2020,311528,KRAFTCERT AS,Datadrevne trusselvurderinger og -analyser,914881722,Oslo,Oslo,OSLO,JA,NEI,3/18/2020,2020,2022,Energi,Datadrevene trusselvurderinger og -analyser for kraftbransjen.
1/23/2020,311554,TORE EIDE AS,Autonomous Fire Fighting system,933233278,Vestland,Bergen,FYLLINGSDALEN,JA,NEI,2/18/2020,2020,2021,Annen tjenesteyting,Tore Eide develops innovative fire extinguish system.
1/23/2020,311555,SKARPNES AS,New concept for building-integrated solar cells,998805856,Agder,Grimstad,GRIMSTAD,JA,NEI,3/18/2020,2020,2021,Energi,Skarpnes AS develops a new business concept.
1/27/2020,311572,AMESTO TOP TEMP AS,Profesjonalisere og forenkle tjenester i rekrutterings- og bemanningsmarkedet ved ny plattform,994600613,Oslo,Oslo,OSLO,JA,NEI,2/26/2020,2020,2020,IKT-næringen,"Utvikle ferdig ny skybasert plattform i rekrutterings- og bemanningsbransjen, som utnytter algoritmer, maskinlæring og fullautomatisering for å profesjonalisere bransjepraksis og prosesser, både internt og hos kundene våre."
1/29/2020,311617,ARCTIC COAT AS,"In situ system til alpinanleggene for bevaring av produsert og ""villsnø"" i og utenfor sesong.",821197112,Oslo,Oslo,OSLO,JA,NEI,2/14/2020,2020,2023,Annen tjenesteyting,"Prosjektet omhandler et nytt innovativt, integrert in situ system for bevaring av snø i alpinanlegg både i og utenom sesong for å sikre framtiden til skisporten. Systemet vil bestå av komponenter som sammen sørger for god isolering, effektiv tildekking og avdekking og sikker anordning mot underlaget og omgivelsene. 

Det vil aktivt bli benyttet analyser og data av vær- og klimaforhold med tilhørende prediksjoner som sentrale elementer for utviklingen av simuleringsmodeller. Disse vil gi muligheter for å avdekke viktige optimaliseringsbehov av systemet. Man vil gjennom anvendt forskning bidra til teknologiforbedringer og dermed forbedring av systemets funksjonalitet.

Kort oppsummert skal systemet sørge for at snøen lagres mer effektivt og kvaliteten på snøen i anleggene vil bli bedre over tid. Søkerbedrift har et mål om at systemet skal ta posisjonen som en klimapositiv nødvendighet i en bransje hvor snøproduksjon øker i takt med klimaendringene. Resultatene fra forskningen vil implementeres i et demonstrasjonsanlegg for bærekraftig bevaring av snø med optimalisert virkningsgrad. Dette er grunnlaget for det kommersielle systemet som er søkerbedriftens sentrale forretningsområde."
1/31/2020,311638,RENT INNEKLIMA AS,Automatisk regulering av lufttetthet,913561279,Oslo,Oslo,OSLO,NEI,JA,2/18/2020,2020,2021,Bygg/anlegg,"Næringsbygg står for 35% av totale energiforbruk i Europa, og over 5% av energiforbruket globalt sett medgår til forbruk knyttet direkte til luftlekkasje i næringsbygg. Luftlekkasje forekommer som en effekt av trykkforskjell i luften på utsiden og innsiden av et bygg, og avhenger av flere ulike faktorer som temperatur, luftfuktighet, værforandringer og ventilering. 

VI ønsker å utvikle at intelligent reguleringssystem som skal bidra til å redusere luftlekkasje i bygg. Vårt system skal bestå av et nettverk av ulike sensorer som monteres i et nettverk både på utsiden og innsiden av en bygning, og som kontinuerlig måler luftlekkasje og andre parametre. Disse målingsdataene analyseres av maskinlæringsalgoritmer og prosesseres gjennom et reguleringssystem som skal ha interaksjon med HVAC installeringene i bygningen der hensikten er å kontinuerlig styre luftstrømningene slik at luftlekkasje, og dermed energiforbruket fra bygningen, blir signifikant redusert."
1/31/2020,311642,TORE EIDE AS,Imbedded fire sprinklers,933233278,Vestland,Bergen,FYLLINGSDALEN,JA,NEI,2/13/2020,2020,2021,Bygg/anlegg,Tore Eide develops innovative imbedded fire sprinkler system.
2/3/2020,311669,APACO AS,Apaco - Automation portal for accounting,923803408,Oslo,Oslo,OSLO,JA,NEI,3/18/2020,2020,2022,Finans og bank,Apaco AS develops innovative accounting processes.
2/3/2020,311682,GO ON SOFTWARE AS,WEB & SKY BASERT JOURNALSYSTEM FOR TANNLEGER,992859547,Viken,Nittedal,NITTEDAL,JA,NEI,2/28/2020,2020,2022,Helsenæringen,"Tannlegene trenger tid til å jobbe som tannleger og ikke som sekretærer eller IT arbeidere.  Vi mener at fremtidens tannlege journalsystem må være web og skybasert, enkelt, brukervennlig og intelligent. Med en web og skybasert journalløsning så  slipper  tannlegene å tenke på backuper, oppgradering av servere og tilgang til journaler etc. Det at tannlegene og pasientene kan være mobile og få tilgang til journalen der de er, når de trenger det vil være et av fremtidens krav fra både myndigheter og pasienter."
2/3/2020,311683,FISKERUTA AS,Utvikling av helhetlig tjeneste for barn med hensikt å øke kunnskap om og konsum av fisk,999600522,Viken,Drammen,MJØNDALEN,NEI,JA,3/27/2020,2020,2022,Næringsmiddelindustri,"Vi tror at barn er de viktigste motivatorene i hjemmet for konsum av fisk og skalldyr. Derfor er det viktig å avdekke hvordan man kan tilrettelegge for at barn og ungdom syns at fisk er godt og spennende. Gjennom prosjektet skal dette forskes på, og vi skal utvikle en helhetlig tjeneste for å undervise barn på en spennende måte, og utvikle unike produkter og oppskrifter som gjør at barn ønsker å spise mer fisk og skalldyr."
2/4/2020,311685,SUFI AS,Utvikling av nye fiskeprodukter basert på biprodukter og nytt produksjonsutstyr,975922081,Nordland,Flakstad,SUND I LOFOTEN,JA,NEI,3/27/2020,2020,2021,Næringsmiddelindustri,Målet med prosjektet er å utvikle nye tørrfiskprodukter og produksjonsutstyr.
2/4/2020,311686,REAL LOFOTEN AS,"Utvikling av innendørstørket, høykvalitets tørrfisk av loins",987494778,Nordland,Flakstad,SUND I LOFOTEN,JA,NEI,3/27/2020,2020,2021,Næringsmiddelindustri,Hovedmålet i prosjektet er å utvikle nye tørrfiskprodukter.
2/4/2020,311689,COMMUNITY AS,"Markedets første sosiale plattform for nabolag, idrettslag, organisasjoner og annonsører",918624570,Oslo,Oslo,OSLO,JA,NEI,3/11/2020,2020,2022,IKT-næringen,"Vi skal utvikle en ny og mer avansert sosial plattform for nabolag, organisasjoner og idrettslag."
2/4/2020,311691,JA-INSPECT AS,Utvikling av ny type robot for undervannsinspeksjon av rør,920276253,Oslo,Oslo,OSLO,JA,NEI,3/19/2020,2020,2021,Olje og gass,Målet med prosjektet er å utvikle en ny type robot for scanning av komponenter under vann.
2/5/2020,311704,BLID AS,Integrert helseplattform for tannlegeklinikker,923669485,Oslo,Oslo,OSLO,JA,NEI,2/13/2020,2020,2021,Helsenæringen,"Konseptet til Blid bygger på et ønske om å tilby en tannlegetjeneste som setter pasienten i sentrum. Gjennom vårt forretningskonsept og teknologiplattform vil vi kunne tilby et sikkert, effektivt og rimelig alternativ til eksisterende tilbud. Dette innebærer blant annet kort ventetid, lave priser og konsultasjoner der tannlegen kan fokusere på å løse pasientens
medisinske utfordringer. Prosjektet vil bidra til utvikling av den teknologiske plattformen som muliggjør dette."
2/7/2020,311727,AXESS AS,Axess Warehouse digitalisering,980123537,Møre og Romsdal,Molde,MOLDE,NEI,JA,3/11/2020,2020,2021,Olje og gass,"Axess AS skal digitalisere utstyr- og lagerhåndtering. Vi skal ta i bruk RFID teknologi på klatreutstyr, løfte- og riggeutstyr, NDT-inspeksjonsutstyr og øvrig mekanisk utstyr/ verktøy for raskere registrering inn- og ut av prosjekt, samt effektivisere interne inspeksjons prosedyrer og utstedelse av sertifikater og dokumentasjon. Deler man opp disse utstyrskategoriene vet vi det er firma i bransjen som jobber med en tilsvarende tilnærming, men med vår totalsammensetning av utstyr mener vi vi blir unike. Vi vil spesielt fremheve digitalisering vedrørende kontroll av løfte- og riggeutstyr som meget spennende, da vi er sikre på at det er et kommersielt offshoremarked som vil tjene på å innføre denne teknologien for sine installasjoner om dette videreutvikles og tilpasses med Axess' inspeksjons software."
2/7/2020,311730,TRIPOD HOUSE AS,Developing sustainable building constructions,921689659,Rogaland,Stavanger,STAVANGER,NEI,JA,2/12/2020,2020,2022,Bygg/anlegg,"Tripod House AS has developed a new and potentially game changing way of constructing buildings which are more
resilient to climate changes and are giving an optimal potential for energy production. The innovative construction methods used in the foundation of these buildings makes them less vulnerable to earth quakes and flooding.
Resilience against extreme storms and weather are also taken care of through the very strong form of the building and the unique and flexible building elements. As a bonus, these buildings also delivers available surfaces, facing the sun, up
to several times as large as regular buildings as per today."
2/11/2020,311774,BRAGD CONSULTING NETWORK AS,"""Min Bragd"" v4",914717930,Oslo,Oslo,OSLO,JA,NEI,4/17/2020,2020,2021,IKT-næringen,"Arbeidet med å finne rett kandidat til rett oppdrag er en møysommelig prosess som krever nøyaktighet og stor fokus på kvalitet og detaljer. Historisk sett har dette arbeidet medført mange manuelle arbeidsprosesser. Gjennom forskning på- og utvikling av moderne verktøy basert på ny teknologi inkludert AI, RPA og Big Data, ønsker BCN å forbedre både kvalitet og resultat i sitt arbeid. Dette ønsker BCN å oppnå ved å benytte digitaliserte prosesser der dette lar seg gjøre i kombinasjon med den menneskelige involvering der det er mest hensiktsmessig.

Siden BCN leverer konsulenter til mange store offentlige aktører, ligger det en stor samfunnsøkonomiske gevinsten i at kunden får best mulig egnede konsulenter til sine prosjekter og dermed oppnår større treff i sine prosjektmål.

BCNs målsetning er at minst 80% av sine kunder skal få tilgang til kvalifisert kompetanse innen 24 timer etter at vi har mottatt kundens ønsker!"
2/11/2020,311782,INTERSHIP AS,Mechanical delousing,899177762,Møre og Romsdal,Hareid,HAREID,JA,NEI,4/6/2020,2020,2020,Marin/sjømat,Intership AS develops modern and innovative solutions for use in the aquaculture industry.
2/11/2020,311784,INTERSHIP NORGE AS,Mechanical delousing,812158392,Møre og Romsdal,Hareid,HAREID,JA,NEI,5/4/2020,2020,2020,Marin/sjømat,Intership Norge AS develops modern and innovative solutions for use in the aquaculture industry.
2/11/2020,311796,MERKANTILBYGG HOLDING AS,Digital plattform,931388940,Oslo,Oslo,OSLO,JA,NEI,3/31/2020,2020,2023,IKT-næringen,"Utleie eiendom representere den største bygningsmassen i Norge, og er kanskje den delen av bygningsmassen som har størst påvirkning på miljø, energiforbruk, sysselsetning og utvikling i næringslivet generelt  på fastlandet. Norge er
avhengig av at denne delen av samfunnet forvaltes på en bærekraftig og effektivmåte, både mht energi og miljø, men ikke minst som et fundament i videre næringsutvikling. Fremtidens eiendomsforvaltning må utnytte ny teknologi i sitt samfunnsoppdrag for å optimalisere og effektivisere - vi utvikler løsninger som vil ta denne delen av næringslivet inn i fremtiden ved hjelp av digitale løsninger og kunstig intelligens."
2/14/2020,311915,BEAUFORT SOLUTIONS AS,Artificial Intelligence and digitalization in financial transactions. Complience and Efficiency.,923710809,Oslo,Oslo,OSLO,JA,NEI,3/20/2020,2020,2023,Finans og bank,"Each year more than 1500 billion USD is laundered through financial institutions and used to fund terrorist activities, trafficking and organized crime. Existing solutions available are either too intricate or expensive to meet the needs of multiple industries for survailence of financial transactions. Industry is crying out for a more affordable, straightforward package that demystifies the survailence of financial transactions. AML, KYC, on-boarding etc. 

We wish to develop a solution that provides complience executives complete peace of mind by empowering them to identify risks and better understand, comply and keep up with AML and KYC rules and regulations, including counter-terrorism (CTF) and sanctions lists.
?"
2/17/2020,311960,OLIO BEAUTY AS,Digital service plattform for skjønnhets og velvære bransjen,922837023,Oslo,Oslo,OSLO,NEI,JA,2/20/2020,2020,2022,Helsenæringen,"Olio skal revolusjonere Skjønnhets & Velvære bransjen, vi skal gjøre Skjønnhets & Velvære behandling lettere tilgjengelig, enklere og rimeligere for alle. 

Skjønnhets & Velvære behandling skal ikke lenger være forbeholdt de med god økonomi eller god tid, men et tilbud alle skal kunne nyte godt av uavhengig av lommeboken og disponibel tid. Et besøk hos Olio skal sikre at du føler deg bedre både fysisk og mentalt når du går ut døra, uavhengig av hvilken av våre klinikker du besøker."
2/17/2020,311963,ENTRO AS,Entro Ecopilot,985622914,Trøndelag - Trööndelage,Trondheim,TRONDHEIM,JA,NEI,3/18/2020,2020,2022,Miljø,Entro AS is developing an innovative energy management solution for buildings.
2/18/2020,311977,TEKAM TELECOM AS,Forlengelse av søknad med søknadsnr. 286473: Helhetlig tjeneste for smarthusløsning for alle boliger,914823951,Trøndelag - Trööndelage,Trondheim,TRONDHEIM,JA,NEI,3/31/2020,2020,2021,IKT-næringen,Utvikling av helhetlig tjeneste for implementering av smarthusteknologi i eksisterende boliger.
2/18/2020,311978,CREDLOCK SYSTEMS AS,Innovativ digital modul for PT-tjenester,994176021,Oslo,Oslo,OSLO,JA,NEI,2/21/2020,2020,2022,Helsenæringen,Credlock Systems AS jobber med det første helhetlige tilbudet for personlig trener-tjenester gjennom utvikling av et digitalt verktøy som vil øke interaksjon mellom personlig trener og kunde.
2/18/2020,311981,INOSA AS,INOSAwoc,989643037,Rogaland,Vindafjord,NEDRE VATS,JA,NEI,4/17/2020,2020,2021,Prosess- og foredlingsindustri,"Formålet med løsningen er å hjelpe virksomhetene med å kvalitetssikre både en virksomhets arbeidsprosedyrer og arbeidsutførelse på en systematisk og involverende måte.

Metoden er en del av det som i lean-terminologi kalles å «gå til gemba» (""synlig ledelse""). Dette blir ofte enkle og sporadiske observasjoner med ark og manuell oppfølging og med stor variasjon i utførelse. Arbeidet kan dermed bli tilfeldig og ikke til god nytte for verken for den ansatte eller ledelsen.

INOSA planlegger å utvikle ny metodikk og funksjonalitet for woc-rutiner som kan forenkle arbeidet ved at ressurser til administrasjon og oppfølging blir betydelig redusert. I tillegg vil løsningen gi grunnlag for bedre læring og
forbygging av feil og ulykker."
2/23/2020,312027,FIOLETT FIERCE MARVEL LEONHARDSEN,Utleier Ballkjoler,918315748,Trøndelag - Trööndelage,Trondheim,TRONDHEIM,NEI,JA,4/1/2020,2020,2023,Varehandel,Fashionist.
2/23/2020,312028,SUPER RADIO AS,MAMIME-extentsion,913410572,Oslo,Oslo,OSLO,JA,NEI,3/10/2020,2020,2022,Maritim,"Norway's vast geographic distances and the economic importance of activities at sea in remote areas demand novel and innovative radio-based solutions. However, current maritime communication systems are mainly using VHF radio, GSM, UMTS, WLAN or mobile Ku-band satellite systems. These systems may suffer from low bandwidth (VHF and GSM), limited coverage (GSM,WLAN) or high cost (VSAT). To cope with above challenges, this MAMIME2 project focuses on the the innovative research and design of dedicated massive 5G MIMO for maritime applications. 

According to the previous R&D results, the main R&D challenges are the insufficient coverage, limited capacity, strong path-loss fadings at short TX-RX distances and antenna mismatch due to the maritime radio propagation environments.

To overcome the above challenges, the primary objective of this MAMIME2 project is to design a solution with high data rate and large coverage for land-to-boat and boat-to-boat radio communications, utilizing 5G Massive MIMO schemes. The 2nd main objective is to integrate a dual-band massive MIMIO antenna array with our massive MIMO channel sounder that can measure the channel impulse response for Massive MIMO scenarios and resolve the angular information of the radio channel. 

These innovative solutions have the potential for Internet Service Provider (ISP) to provide more reliable and much higher data-rate service with larger radio coverage for the maritime applications. In addition, the R&D results can be used for 5G maritime system designs for the manufacturers and radio coverage planning for the ISP, respectively. This project can be the first dedicated 5G research for maritime applications all over the world and possible to be standardized."
2/24/2020,312030,TERMO SENTERET AS,Utviklingen av komplett vedlikeholds- og tilstandsovervåkingssystem for kjøretøy og maskiner,985768625,Rogaland,Sandnes,SANDNES,JA,NEI,3/30/2020,2020,2022,Transport og samferdsel,Utviklingen av komplett vedlikeholds- og tilstandsovervåkingssystem for kjøretøy og maskiner.
2/24/2020,312032,LILLELAM AS,Ull-helse,987224037,Oslo,Oslo,OSLO,JA,NEI,3/10/2020,2020,2022,Helsenæringen,Definere og gjennomføre en klinisk studie i Norge om effekten av 100% merinoull som behandlingmetode av visse hudsykdommer hos barn.
2/24/2020,312033,PREDIKTOR AS,SkyTrack,998474574,Viken,Fredrikstad,GAMLE FREDRIKSTAD,JA,NEI,3/20/2020,2020,2022,Prosess- og foredlingsindustri,"Alle virksomheter som produserer varer, energi noe eller annet (eksempelvis i helsevesenet som produserer behandlede pasienter) trenger systemer for støtte og oppfølging av det som skjer i prosessene. Et eksempel på en produserende virksomhet er et bakeri hvor en ønsker å vite hvordan oppskrifts- og bake-parametre, så som temperatur- og tid influerer på resultatets smak, skorpe, konsistens og utseende.  Andre parametre kunne være ressursbruk så som energi, tid og mengde råvarer. Et annet eksempel er en sol-park, hvor en ønsker å rapportere produsert energi og å finne ut om noen av panelene burde vaskes eller repareres.
Mange virksomheter, spesielt små slike, benytter manuelle systemer for å registrere produksjonsdata basert på papir eller for eksempel i Excel regneark. Større bedrifter investerer ofte i databaserte systemer. Slike datasystemer er dyre og kan kreve tusenvis av ingeniørtimer for å realiseres. Hovedmålet med  SkyTrack prosjektet er å utvikle metoder og verktøy som dramatisk reduserer kostnader og kompleksitet ved å realisere og benytte slike systemer. Systemer basert på SkyTrack vil sannsynligvis være sky baserte og applikasjonene kan bli generert automatisk basert på maler for ulike fabrikk typer (generiske mønstre).
Ved å benytte resultater fra SkyTrack vil Prediktor og andre kunne redusere ingeniørarbeide og kostnader ved bruk betydelig. I tillegg vil startkostnadene bli små og med skalerbare kostnader for utvidelser.
For å muliggjøre alt dette skal SkyTrack utvikle metoder som:
- Klassifiserer produksjonsenheter som kan representeres på samme måte (gjenbruk).
- Utvikle metodikk/algoritmer for automatisk å transformere fra fabrikknære navn på signaler og data til generiske SkyTrack navn.
-  Utvikle metoder for automatisk generering av digitale tvillinger for operasjons-støtte, rapportering, analyse, etc.
- Optimalisere brukeropplevelse slik at sluttbrukere finner det enkelt å konfigurere og å operere SkyTrack baserte løsninger."
2/24/2020,312038,PROBROKER AS,Concept study of a novel plastic recycling process in Norway,916035578,Agder,Kristiansand,KRISTIANSAND S,JA,NEI,5/21/2020,2020,2022,Prosess- og foredlingsindustri,ProBroker develops an improved plastic recycling concept.
2/26/2020,312054,BELRON SOLUTIONS AS,Markedets første heldigitale og transparente verktøy for administrasjon av skadereparasjoner,918695788,Oslo,Oslo,OSLO,JA,NEI,4/1/2020,2020,2021,IKT-næringen,Målet med prosjektet er å utvikle en heldigital plattform for administrasjon av skadereparasjon på motorvogn.
2/26/2020,312056,KVITTIND I AS,Pussing og polering med robot,998911885,Agder,Arendal,KOLBJØRNSVIK,JA,NEI,3/17/2020,2020,2020,Vareproduserende industri,"Produktet ""Aktiv pusserobot"" har tatt ny IoT teknologi i bruk for å skape et enkelt og brukervennlig produkt SMB markedet for trebearbeiding enkelt kan ta i bruk fra dag en. Her er terskelen for brukeren tatt ned, slik at du ikke trenger å være IT spesialist for å kunne gjøre harde pusse og slipe oppgaver med robot. For kundene frigjøres timer av finish arbeid fra arbeiderne."
2/26/2020,312058,AIMY AS,Plattform for smart butikkdrift,920772226,Vestland,Bergen,BERGEN,JA,NEI,4/1/2020,2020,2022,IKT-næringen,"Prosjektet skal resultere i en plattform for smart, digitalisert butikkdrift som, ved hjelp av komplekse prediksjonsmodeller og maskinlæring, skal gi butikksjef et bedre beslutningsgrunnlag ved planlegging av ressursbruk."
2/26/2020,312059,PROCOPE AS,Digital plattform for internkontrollinstruks og avviksrapportering,912537765,Oslo,Oslo,OSLO,JA,NEI,3/20/2020,2020,2021,IKT-næringen,"Dette prosjektet skal resultere i en plattform for digitalisering av internkontrollinstruks med integrerte metoder for avviks- og tiltaksrapportering. Prosjektet er rettet mot utelivsbransjen, og skal føre til økt kontroll for bevillingshaver og samtidig ivareta myndighetenes lover og regler."
2/26/2020,312063,THROW NO MORE AS,Teknologi mot svinn,917245444,Viken,Bærum,FORNEBU,NEI,JA,6/25/2020,2020,2022,Varehandel,Vi vil utvikle en markedsføringsløsning slik at den er spesialtilpasset forskjellige bransjer utover logo og branding. Funksjonalitetene skal være skreddersydde og målrettet mot ønskede kundesegmenter. Teknologien vil gi butikkene mulighet til å monitorere sitt eget svinn og utøve målrettet markedsføring for å begrense dette. Forbrukerne vil få en total oversikt over tilbud og bevisstgjøres på sitt eget handlemønster i et miljøperspektiv
